threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
4,1,2239,2129,2281,2275,2274,2210,2244,2175,2354,2215,2241
4,2,1401,1462,1356,1371,1456,1374,1332,1456,1363,1383,1466
4,3,1417,1405,1367,1372,1473,1464,1454,1431,1458,1404,1347
4,4,1550,1561,1529,1518,1620,1611,1499,1538,1498,1531,1601
4,5,1157,1145,1154,1165,1164,1158,1157,1165,1166,1158,1146
4,6,1088,1088,1090,1094,1072,1091,1096,1090,1090,1084,1086
4,7,1026,1044,1021,1020,1028,1017,1031,1040,1015,1035,1018
4,8,961,960,961,958,965,957,958,959,962,966,965
4,9,928,929,930,927,922,933,931,929,931,927,923
4,10,868,865,869,866,868,866,866,878,870,863,872
4,11,783,712,791,790,793,790,789,793,791,795,792
4,12,745,748,745,744,745,745,746,744,749,748,744
4,13,762,760,764,766,762,763,761,764,766,761,760
4,14,779,780,777,784,777,779,781,780,777,778,779
4,15,785,783,784,782,790,787,780,786,789,792,781
4,16,804,804,806,804,799,801,810,801,804,807,812
4,17,880,872,874,879,872,882,885,882,901,873,884
4,18,1009,1003,999,1001,1010,1012,1023,1012,1029,1000,1008
