threads,hash bits,mean[ms],run1[ms],run2[ms],run3[ms],run4[ms],run5[ms],run6[ms],run7[ms],run8[ms],run9[ms],run10[ms]
16,1,102,100,99,106,98,101,101,101,104,106,104
16,2,129,131,128,127,127,131,142,126,131,127,129
16,3,134,144,131,134,136,133,129,140,131,137,133
16,4,128,128,128,125,129,129,130,127,130,125,129
16,5,112,122,122,117,121,117,112,108,101,106,100
16,6,86,84,86,87,87,84,88,87,85,87,87
16,7,74,82,80,83,70,72,76,74,74,69,68
16,8,68,66,67,69,67,69,68,68,73,68,73
16,9,60,59,64,63,61,59,59,58,58,63,59
16,10,61,67,67,62,60,56,64,58,61,59,60
16,11,69,68,71,70,70,69,72,69,72,64,68
16,12,86,83,83,84,84,89,94,86,84,86,88
16,13,131,135,133,134,130,139,138,128,115,134,133
16,14,147,149,144,152,135,148,154,148,149,148,148
16,15,157,153,152,156,159,157,157,160,159,158,159
16,16,141,147,142,144,142,144,138,144,138,142,137
16,17,151,144,148,155,153,163,156,155,142,146,156
16,18,191,199,197,202,185,185,183,195,185,187,197
